casename,ctp,yaw,phi_hub,Cp_1,Cp_2,Cp_T,ud
yaw_08_ct_03,0.8,40,-0.004929873,0.2324374909262841,0.5576674657722179,0.395052478,0.602114489
yaw_09_ct_03,0.8,45,-0.005116417,0.1877325633777238,0.5839357744169769,0.3858341688973503,0.5638165001416748
yaw_00_ct_05,1.2,0,-0.007580384,0.5529376366031518,0.3136788559357094,0.4333082462694306,0.7027937290946823
yaw_01_ct_05,1.2,5,-0.009092495,0.5477323617807284,0.365890886,0.4568116238253532,0.6953606510825623
yaw_02_ct_05,1.2,10,-0.008735354,0.5340435277557332,0.4205688178353527,0.477306173,0.6871676730327603
yaw_03_ct_05,1.2,15,-0.00631038,0.5100120709349449,0.4627484768680767,0.4863802739015108,0.6832531332720442
yaw_04_ct_05,1.2,20,-0.006935037,0.4794724985077689,0.5205098942491857,0.4999911963784774,0.6697298113188734
yaw_05_ct_05,1.2,25,-0.009143426,0.4377061331743559,0.5518731866206026,0.4947896598974793,0.651851295
yaw_06_ct_05,1.2,30,-0.006928598,0.3944303219891122,0.5628473438160895,0.4786388329026009,0.6215313480537539
yaw_07_ct_05,1.2,35,-0.008649874,0.343985943,0.5738418657683593,0.4589139045874746,0.5991678743371808
yaw_08_ct_05,1.2,40,-0.008392401,0.2904212110680043,0.5895872571420823,0.4400042341050433,0.564314102
yaw_09_ct_05,1.2,45,-0.008389845,0.2348417887945985,0.5740104291300191,0.4044261089623088,0.5255904762018044
yaw_00_ct_07,1.6,0,-0.005815488,0.5969579548587162,0.2831543922012758,0.440056174,0.6491589845996856
yaw_01_ct_07,1.6,5,-0.007621791,0.5914779751361666,0.3284796438682788,0.4599788095022227,0.6515359742931986
yaw_02_ct_07,1.6,10,-0.006687171,0.5797880784673909,0.3971507114304271,0.488469395,0.6431937112085464
yaw_03_ct_07,1.6,15,-0.00789902,0.5535856010215905,0.4600526701928417,0.5068191356072161,0.6230829853516044
yaw_04_ct_07,1.6,20,-0.006822635,0.5224955676412026,0.5110892993175892,0.516792433,0.6189254230798208
